sex,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
Female,1571.6753403982016,1906.9380567550893,2031.5802574329223,2226.583717384931,2511.7505003403676,2640.1021762589926,2951.310884685784,3199.1304571000373,3613.0948980274156,4569.471285619616
Male,1586.1221557251906,1918.0269815384618,1978.1240728228229,2260.8416437537358,2418.2629671848013,2683.922896253602,2905.537344311377,3129.5906550850527,3675.3721070460706,4618.513107879608
no_data,1627.5512210526315,1979.5032391304348,2077.7624598930483,2131.802841880342,2585.1098514851487,2622.7392676767677,2843.2685769230766,3228.0040789473687,3944.571288888889,4494.015570175438
